tree,site,plot,species.x,week,md_mpa,md_lwc,pd_mpa,pd_lwc,longitude,latitude,name,description,species.y,e_drop,lat_utm,lon_utm,time
2354,LL,MiddleEarth,live oak,14,3.1255555555555565,0.74904778391754,0.8948666666666665,0.957191137814495,-120.047607340709,34.6906142262884,L2354,NA,L,2.2306888888888903,-369533.5948852254,-4359.713519574736,early
2354,LL,MiddleEarth,live oak,15,1.63733333333333,1.31461777705025,1.5902,0.615370978326771,-120.047607340709,34.6906142262884,L2354,NA,L,0.04713333333332992,-369533.5948852254,-4359.713519574736,early
2354,LL,MiddleEarth,live oak,19,2.83775,0.678316978088453,1.98933333333333,0.706446575953603,-120.047607340709,34.6906142262884,L2354,NA,L,0.8484166666666701,-369533.5948852254,-4359.713519574736,late
2354,LL,MiddleEarth,live oak,29,4.1,0.487928221859706,2.63333333333333,0.607127882599581,-120.047607340709,34.6906142262884,L2354,NA,L,1.4666666666666694,-369533.5948852254,-4359.713519574736,late
2360,LL,MiddleEarth,blue oak,14,3.13333333333333,0.834769180956651,1.08133333333333,NA,-120.047308630924,34.6904659908019,B2360,"Sapflow probe 4
Logger ED02",B,2.0520000000000005,-369550.0627525998,-4332.3669364493435,early
2360,LL,MiddleEarth,blue oak,15,2.52025,0.808557387859272,1.36666666666667,0.846761604563023,-120.047308630924,34.6904659908019,B2360,"Sapflow probe 4
Logger ED02",B,1.1535833333333299,-369550.0627525998,-4332.3669364493435,early
2360,LL,MiddleEarth,blue oak,17,2.75833333333333,0.767519234768143,1.485,0.863710216954984,-120.047308630924,34.6904659908019,B2360,"Sapflow probe 4
Logger ED02",B,1.27333333333333,-369550.0627525998,-4332.3669364493435,NA
2360,LL,MiddleEarth,blue oak,21,3.27725,0.707836990595611,2.13425,0.838417147568013,-120.047308630924,34.6904659908019,B2360,"Sapflow probe 4
Logger ED02",B,1.1429999999999998,-369550.0627525998,-4332.3669364493435,late
2360,LL,MiddleEarth,blue oak,29,4.56666666666667,0.578012684989429,3.83333333333333,0.655671902268761,-120.047308630924,34.6904659908019,B2360,"Sapflow probe 4
Logger ED02",B,0.73333333333334,-369550.0627525998,-4332.3669364493435,late
2360,LL,MiddleEarth,blue oak,33,4.88075,0.592247572432305,3.8955,0.693851944792974,-120.047308630924,34.6904659908019,B2360,"Sapflow probe 4
Logger ED02",B,0.9852499999999997,-369550.0627525998,-4332.3669364493435,late
2365,LL,MiddleEarth,blue oak,10,2.1837,1.3987307813335501,1.4446666666666652,1.63274015431359,-120.047265106008,34.6904582153947,B2365,Sapflow Probe 3?,B,0.7390333333333348,-369550.9278125963,-4328.381500130836,early
2365,LL,MiddleEarth,blue oak,12,2.2,NA,2.09,NA,-120.047265106008,34.6904582153947,B2365,Sapflow Probe 3?,B,0.11000000000000032,-369550.9278125963,-4328.381500130836,early
2365,LL,MiddleEarth,blue oak,14,2.3,1.097464577551,1.596666666666665,1.25804850330217,-120.047265106008,34.6904582153947,B2365,Sapflow Probe 3?,B,0.7033333333333349,-369550.9278125963,-4328.381500130836,early
2365,LL,MiddleEarth,blue oak,15,1.80033333333333,0.87452431803489,1.4,0.933335178525099,-120.047265106008,34.6904582153947,B2365,Sapflow Probe 3?,B,0.4003333333333301,-369550.9278125963,-4328.381500130836,early
2365,LL,MiddleEarth,blue oak,17,3.18333333333333,0.849246231155779,1.402,0.952554744525547,-120.047265106008,34.6904582153947,B2365,Sapflow Probe 3?,B,1.78133333333333,-369550.9278125963,-4328.381500130836,NA
2365,LL,MiddleEarth,blue oak,19,2.6145,0.847659667541557,1.35666666666667,1.06396938217605,-120.047265106008,34.6904582153947,B2365,Sapflow Probe 3?,B,1.25783333333333,-369550.9278125963,-4328.381500130836,late
2365,LL,MiddleEarth,blue oak,21,2.97266666666667,0.770127504553734,1.87766666666667,0.847133757961783,-120.047265106008,34.6904582153947,B2365,Sapflow Probe 3?,B,1.0950000000000002,-369550.9278125963,-4328.381500130836,late
2365,LL,MiddleEarth,blue oak,29,3.93333333333333,0.586177105831533,3.9,0.546205357142857,-120.047265106008,34.6904582153947,B2365,Sapflow Probe 3?,B,0.033333333333330106,-369550.9278125963,-4328.381500130836,late
2365,LL,MiddleEarth,blue oak,33,5.1675,0.53375,3.82,0.586782267299198,-120.047265106008,34.6904582153947,B2365,Sapflow Probe 3?,B,1.3475000000000006,-369550.9278125963,-4328.381500130836,late
2365,LL,MiddleEarth,blue oak,37,4.308,0.535108250438853,2.48333333333333,NA,-120.047265106008,34.6904582153947,B2365,Sapflow Probe 3?,B,1.82466666666667,-369550.9278125963,-4328.381500130836,late
2366,LL,MiddleEarth,blue oak,10,2.28666666666667,0.93009669869426,1.508,1.80352422907489,-120.04724937647,34.6904760802316,B2366,NA,B,0.7786666666666702,-369548.9455295559,-4326.940053118711,early
2367,LL,MiddleEarth,blue oak,10,2.38375,1.50890003813391,1.4865,1.97326732673267,-120.047217672111,34.6904425353276,B2367,Sapflow probe 2?,B,0.8972500000000001,-369552.670468112,-4324.038528491251,early
2367,LL,MiddleEarth,blue oak,12,1.8,NA,0.9,NA,-120.047217672111,34.6904425353276,B2367,Sapflow probe 2?,B,0.9,-369552.670468112,-4324.038528491251,early
2367,LL,MiddleEarth,blue oak,14,2.025,1.21928418803419,1.0050000000000001,NA,-120.047217672111,34.6904425353276,B2367,Sapflow probe 2?,B,1.0199999999999998,-369552.670468112,-4324.038528491251,early
2367,LL,MiddleEarth,blue oak,15,2.07175,0.894460670211854,1.2,0.911894173902553,-120.047217672111,34.6904425353276,B2367,Sapflow probe 2?,B,0.8717500000000002,-369552.670468112,-4324.038528491251,early
2367,LL,MiddleEarth,blue oak,17,2.71266666666667,0.853072757240405,1.546,0.964542405366555,-120.047217672111,34.6904425353276,B2367,Sapflow probe 2?,B,1.1666666666666698,-369552.670468112,-4324.038528491251,NA
2367,LL,MiddleEarth,blue oak,19,2.584,0.897466539196941,1.678,0.93171139187637,-120.047217672111,34.6904425353276,B2367,Sapflow probe 2?,B,0.9060000000000001,-369552.670468112,-4324.038528491251,late
2367,LL,MiddleEarth,blue oak,21,2.96033333333333,0.728358208955224,2.01425,0.814159292035398,-120.047217672111,34.6904425353276,B2367,Sapflow probe 2?,B,0.9460833333333301,-369552.670468112,-4324.038528491251,late
2367,LL,MiddleEarth,blue oak,29,3.88333333333333,0.496491228070175,3.26666666666667,0.577777777777778,-120.047217672111,34.6904425353276,B2367,Sapflow probe 2?,B,0.61666666666666,-369552.670468112,-4324.038528491251,late
2367,LL,MiddleEarth,blue oak,33,5.2685,0.622279792746114,3.507,0.596755797744266,-120.047217672111,34.6904425353276,B2367,Sapflow probe 2?,B,1.7615000000000003,-369552.670468112,-4324.038528491251,late
2367,LL,MiddleEarth,blue oak,37,NA,0.636964845109641,3.48366666666667,NA,-120.047217672111,34.6904425353276,B2367,Sapflow probe 2?,B,NA,-369552.670468112,-4324.038528491251,late
2369,LL,MiddleEarth,blue oak,10,2.33925,1.09207555332267,1.381333333333335,1.30090861572716,-120.04721414717,34.6904701766938,B2369,Sapflow probe 1?,B,0.9579166666666648,-369549.60243084375,-4323.714198112237,early
